index,pm10,so2,co,o3,no2,categori
15,67,66,25,43,55,SEDANG
16,66,51,28,44,41,TIDAK SEHAT
17,77,59,23,49,45,TIDAK SEHAT
18,64,59,21,41,45,TIDAK SEHAT
19,81,66,26,44,58,TIDAK SEHAT
20,62,55,16,44,35,SEDANG
21,59,54,16,38,35,SEDANG
22,66,52,17,51,43,TIDAK SEHAT
23,80,54,19,42,52,TIDAK SEHAT
24,85,58,30,40,63,TIDAK SEHAT
25,67,53,10,53,23,TIDAK SEHAT
26,72,57,22,57,41,TIDAK SEHAT
27,65,53,18,61,38,TIDAK SEHAT
28,75,52,24,51,50,TIDAK SEHAT
29,79,57,19,55,38,TIDAK SEHAT
0,64,53,14,48,31,TIDAK SEHAT
1,68,56,23,40,51,TIDAK SEHAT
2,80,54,13,44,27,TIDAK SEHAT
3,94,51,15,50,25,TIDAK SEHAT
4,83,56,13,62,26,TIDAK SEHAT
5,68,51,10,55,29,TIDAK SEHAT
6,84,54,12,51,27,TIDAK SEHAT
7,83,56,11,50,26,TIDAK SEHAT
8,92,59,11,56,26,TIDAK SEHAT
9,78,54,10,63,23,TIDAK SEHAT
10,66,54,10,54,17,TIDAK SEHAT
11,64,52,9,44,14,SEDANG
12,78,54,11,43,26,TIDAK SEHAT
13,66,51,13,50,26,TIDAK SEHAT
14,95,62,15,56,30,TIDAK SEHAT
15,85,53,11,53,29,TIDAK SEHAT
16,74,55,10,58,20,TIDAK SEHAT
17,82,55,13,58,27,TIDAK SEHAT
18,80,51,11,77,28,TIDAK SEHAT
19,86,51,15,60,24,TIDAK SEHAT
20,55,52,9,58,19,TIDAK SEHAT
21,60,53,11,54,27,TIDAK SEHAT
22,63,52,10,59,28,TIDAK SEHAT
23,66,54,13,51,34,TIDAK SEHAT
24,81,55,24,54,42,TIDAK SEHAT
25,79,54,16,46,32,TIDAK SEHAT
26,82,56,13,41,35,TIDAK SEHAT
27,82,53,18,40,45,TIDAK SEHAT
28,78,52,18,53,39,TIDAK SEHAT
29,90,54,15,81,35,TIDAK SEHAT
30,63,50,18,65,29,SEDANG
0,30,20,10,32,9,BAIK
1,27,22,12,29,8,BAIK
2,39,22,14,32,10,BAIK
3,34,22,14,38,10,BAIK
4,35,22,12,31,9,BAIK
5,46,23,16,32,9,BAIK
6,37,23,26,33,11,BAIK
7,41,26,20,30,11,BAIK
8,52,23,29,24,12,SEDANG
9,24,24,18,25,8,BAIK
10,34,31,25,23,8,BAIK
11,27,23,9,33,4,BAIK
12,33,26,12,36,8,BAIK
13,34,28,13,27,7,BAIK
14,29,22,13,36,8,BAIK
15,52,60,19,30,8,SEDANG
16,51,34,21,74,20,SEDANG
17,37,29,14,31,6,BAIK
18,61,34,36,58,15,SEDANG
19,47,30,15,33,9,BAIK
20,30,36,14,26,9,BAIK
21,40,36,18,28,15,BAIK
28,49,11,23,38,19,BAIK
29,38,12,21,35,20,BAIK
30,44,10,22,25,16,BAIK
31,31,7,8,41,5,BAIK
32,23,7,9,35,6,BAIK
33,47,7,16,45,8,BAIK
34,45,7,10,44,8,BAIK
35,41,7,11,44,6,BAIK
36,54,7,16,41,8,SEDANG
37,46,7,30,45,8,BAIK
38,51,8,17,48,8,SEDANG
39,64,7,24,45,10,SEDANG
40,43,8,19,32,9,BAIK
41,44,8,20,35,9,BAIK
42,34,7,11,34,5,BAIK
43,37,8,9,35,7,BAIK
44,32,8,7,35,9,BAIK
45,33,7,11,37,9,BAIK
48,41,7,10,44,7,BAIK
49,73,10,50,92,15,SEDANG
50,53,8,13,35,6,SEDANG
51,34,7,11,30,8,BAIK
52,62,10,15,44,7,SEDANG
53,39,8,12,26,8,BAIK
54,55,10,21,25,7,SEDANG
55,30,7,24,28,8,BAIK
56,58,12,30,75,7,SEDANG
57,48,11,10,83,7,SEDANG
59,52,8,19,67,6,SEDANG
60,34,7,9,40,7,BAIK
61,53,7,15,35,7,SEDANG
66,52,12,25,57,4,SEDANG
67,62,11,39,46,7,SEDANG
69,47,10,20,44,5,BAIK
70,67,11,58,46,13,SEDANG
76,44,11,16,63,6,SEDANG
77,67,11,41,78,12,SEDANG
78,52,12,40,119,12,TIDAK SEHAT
79,44,12,25,60,5,SEDANG
80,76,14,62,110,10,TIDAK SEHAT
81,50,12,20,65,6,SEDANG
82,62,12,41,50,15,SEDANG
83,58,12,43,64,13,SEDANG
84,53,14,24,59,6,SEDANG
85,50,14,31,44,12,BAIK
86,40,14,34,35,5,BAIK
87,45,15,43,84,9,SEDANG
88,36,14,29,78,11,SEDANG
89,62,13,39,74,9,SEDANG
90,70,13,42,79,10,SEDANG
92,45,14,27,54,8,SEDANG
94,45,36,25,46,5,BAIK
95,51,37,15,46,6,SEDANG
96,48,38,14,51,5,SEDANG
97,40,39,19,50,5,BAIK
98,56,37,33,41,6,SEDANG
99,50,38,18,47,6,BAIK
100,52,40,16,47,5,SEDANG
101,82,38,31,30,6,SEDANG
102,44,37,18,33,6,BAIK
103,36,38,20,30,5,BAIK
104,43,38,9,43,2,BAIK
105,33,38,11,51,3,SEDANG
106,32,32,11,48,6,BAIK
107,35,29,10,52,5,SEDANG
108,70,30,37,63,5,SEDANG
109,71,29,36,125,6,TIDAK SEHAT
110,59,30,15,75,6,SEDANG
111,76,31,71,94,5,SEDANG
112,56,31,13,50,7,SEDANG
113,54,30,17,50,4,SEDANG
114,82,31,25,53,5,SEDANG
115,60,32,20,44,7,SEDANG
116,71,30,22,29,5,SEDANG
117,37,29,26,35,3,BAIK
118,63,30,29,71,4,SEDANG
119,47,30,13,73,4,SEDANG
121,63,30,27,92,5,SEDANG
122,33,30,14,80,5,SEDANG
123,56,30,18,37,5,SEDANG
125,22,15,24,102,7,TIDAK SEHAT
126,44,17,21,63,7,SEDANG
127,40,18,19,85,9,SEDANG
128,37,21,18,62,5,SEDANG
129,58,18,28,64,9,SEDANG
130,36,18,39,66,9,SEDANG
131,49,21,22,70,10,SEDANG
132,60,14,41,71,11,SEDANG
133,25,17,17,47,7,BAIK
134,36,17,22,80,9,SEDANG
135,24,18,13,46,3,BAIK
138,25,16,15,51,4,SEDANG
139,65,18,30,57,5,SEDANG
140,67,20,35,98,10,SEDANG
141,41,18,17,52,7,SEDANG
142,76,18,50,66,7,SEDANG
143,43,16,19,45,8,BAIK
144,52,18,21,41,8,SEDANG
145,57,17,34,47,9,SEDANG
146,55,15,29,50,10,SEDANG
147,46,15,27,40,7,BAIK
148,36,14,27,80,6,SEDANG
149,57,16,42,89,7,SEDANG
150,31,14,17,58,7,SEDANG
151,65,16,35,65,9,SEDANG
152,56,17,25,73,5,SEDANG
153,27,19,16,61,8,SEDANG
154,46,16,24,44,7,BAIK
0,35,13,24,43,8,BAIK
1,41,20,27,19,18,BAIK
2,44,20,24,16,13,BAIK
3,27,20,31,27,12,BAIK
4,25,20,21,39,13,BAIK
5,33,36,15,36,6,BAIK
6,25,27,3,33,4,BAIK
7,44,45,9,33,14,BAIK
8,38,11,25,41,8,BAIK
9,36,11,39,44,8,BAIK
10,31,11,27,38,8,BAIK
11,26,11,20,31,8,BAIK
12,30,11,17,41,8,BAIK
13,42,11,15,39,8,BAIK
14,38,11,14,40,8,BAIK
15,35,13,18,46,8,BAIK
16,52,27,15,41,16,SEDANG
17,52,22,9,36,18,SEDANG
18,52,26,8,34,13,SEDANG
19,52,21,10,29,15,SEDANG
20,52,19,11,25,14,SEDANG
21,52,18,6,26,10,SEDANG
22,52,21,8,33,14,SEDANG
23,52,18,7,29,10,SEDANG
24,52,18,7,24,11,SEDANG
25,52,43,6,25,4,SEDANG
26,52,49,11,29,1,SEDANG
27,52,37,7,29,11,SEDANG
28,61,35,12,39,20,SEDANG
29,55,35,8,41,14,SEDANG
30,44,35,51,49,11,SEDANG
31,63,35,27,40,17,SEDANG
32,64,52,16,55,18,SEDANG
33,57,36,16,26,17,SEDANG
34,58,37,16,26,13,SEDANG
35,54,38,16,22,10,SEDANG
36,61,39,16,22,12,SEDANG
37,62,38,16,16,13,SEDANG
38,54,37,16,25,15,SEDANG
39,39,36,16,32,18,SEDANG
40,53,32,16,36,22,SEDANG
41,30,27,7,41,14,SEDANG
42,61,30,11,41,17,SEDANG
43,31,28,5,41,7,SEDANG
44,55,26,8,41,10,SEDANG
45,62,25,14,41,21,SEDANG
46,47,31,11,41,18,SEDANG
47,48,31,10,41,19,SEDANG
48,54,12,10,41,18,SEDANG
49,57,42,16,41,16,SEDANG
50,58,46,12,41,19,SEDANG
51,55,13,13,41,17,SEDANG
52,62,48,8,41,16,SEDANG
53,57,9,20,41,37,SEDANG
54,72,31,36,41,6,SEDANG
55,55,47,9,53,23,SEDANG
56,56,51,9,52,23,SEDANG
57,54,54,10,40,23,SEDANG
58,51,11,27,51,23,SEDANG
59,51,11,18,51,23,SEDANG
60,38,11,22,52,23,SEDANG
61,37,13,17,65,23,SEDANG
62,71,52,17,41,22,TIDAK SEHAT
63,68,29,28,50,28,TIDAK SEHAT
64,64,25,16,50,18,TIDAK SEHAT
65,66,13,15,50,20,TIDAK SEHAT
66,65,13,18,50,19,TIDAK SEHAT
67,76,45,13,50,17,TIDAK SEHAT
